"ISIN","DocumentType","EffectiveDate","DownloadDate","DownloadUrl","FilePath","MD5Hash","FileSize"
"DE000A1J9E96","Verkaufsprospekt","01.04.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apano_HI_strategie_01_04_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A1J9E96\VKP_apano_HI_strategie_01_04_2024.pdf","51c039a011dfd5ec703df7764e09b1b2","1206351"
"DE000A1J9E96","Jahresbericht","30.11.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_6108_apano_HI_Strategie_1_2023-11-30.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A1J9E96\JB_6108_apano_HI_Strategie_1_2023-11-30.pdf","515f0b47b8c91e5aacb2e82fffe9d640","1453492"
"DE000A1J9E96","Halbjahresbericht","31.05.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_6108_apano_HI_Strategie_1_Bericht_2023-05-31.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A1J9E96\HJB_6108_apano_HI_Strategie_1_Bericht_2023-05-31.pdf","9e51e65375923fd2b71efa8ed82e5a89","766532"
"DE000A2ATCY0","Verkaufsprospekt","05.06.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_Apo_Daenische_Pfandbriefe_05_06_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2ATCY0\VKP_Apo_Daenische_Pfandbriefe_05_06_2024.pdf","35ca4902abd0885c0615f9b9015699e5","1053398"
"DE000A2AQYV6","Verkaufsprospekt","01.06.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Digital_Health_Aktien_Fonds_01_06_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2AQYV6\VKP_apo_Digital_Health_Aktien_Fonds_01_06_2024.pdf","fff24524f2b3a676bf550c94ca13e06f","1369050"
"DE000A3CSZE9","Verkaufsprospekt","01.06.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Digital_Health_Aktien_Fonds_01_06_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2AQYV6\VKP_apo_Digital_Health_Aktien_Fonds_01_06_2024.pdf","fff24524f2b3a676bf550c94ca13e06f","1369050"
"DE000A2AQYW4","Verkaufsprospekt","01.06.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Digital_Health_Aktien_Fonds_01_06_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2AQYV6\VKP_apo_Digital_Health_Aktien_Fonds_01_06_2024.pdf","fff24524f2b3a676bf550c94ca13e06f","1369050"
"DE0005324313","Verkaufsprospekt","15.05.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Forte_15_05_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE0005324313\VKP_apo_Forte_15_05_2024.pdf","e528cebf99090af0aa5052c0c4ae56d0","1302908"
"DE000A2DP560","Verkaufsprospekt","15.05.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Forte_15_05_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE0005324313\VKP_apo_Forte_15_05_2024.pdf","e528cebf99090af0aa5052c0c4ae56d0","1302908"
"DE000A0F4ZC4","Verkaufsprospekt","29.04.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_APO_High_Yield_Spezial_29_04_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A0F4ZC4\VKP_APO_High_Yield_Spezial_29_04_2024.pdf","40599b98b11e36caafb48b2f6cbd6b3b","1010026"
"DE000A117YH7","Verkaufsprospekt","23.05.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Medical_Balance_23_05_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A117YH7\VKP_apo_Medical_Balance_23_05_2024.pdf","7231ce7aba4e66ca6ba33815c349919d","1331296"
